tag,n,metric,value,lower,upper,valid
QUAN,272,recall,0.9926470588235294,0.981203007518797,1.0,True
.,1488,recall,1.0,,,False
CC,1004,recall,0.9910358565737052,0.985044492271688,0.9960707269155207,True
DT,1704,recall,0.9964788732394366,0.9933246329659543,0.9988433120908506,True
RB,705,recall,0.9191489361702128,0.8995562501963494,0.9383970685474984,True
JJPR,452,recall,0.8296460176991151,0.7945485482898251,0.8632318329944574,True
WHSC,281,recall,0.9644128113879004,0.9407622382447305,0.9831663954986102,True
WHQU,46,recall,0.7608695652173914,0.6215222575516693,0.8810215946843853,True
``,203,recall,0.9655172413793104,0.9362719023779724,0.9895287958115183,True
'',182,recall,1.0,,,False
CD,557,recall,0.9784560143626571,0.9660678541007545,0.9902922010854256,True
:,258,recall,0.9961240310077519,0.9869565217391304,1.0,True
-LRB-,138,recall,1.0,,,False
-RRB-,137,recall,1.0,,,False
TIME,143,recall,0.972027972027972,0.9395829923064332,0.9936718812196481,True
PASS,214,recall,0.9439252336448598,0.912191169828365,0.9719652273795227,True
RP,171,recall,0.8011695906432749,0.7357398658945443,0.8581259936406995,True
PIT,365,recall,0.9917808219178083,0.9813333333333333,1.0,True
DEMO,271,recall,0.8966789667896679,0.8601232917409388,0.9348721154689831,True
CUZ,77,recall,0.961038961038961,0.9113640051931191,1.0,True
QUPR,63,recall,0.9682539682539683,0.9166666666666666,1.0,True
VBN,115,recall,0.8695652173913043,0.8034188034188035,0.9292035398230089,True
VPRT,1154,recall,0.9480069324090121,0.9347215766954192,0.9606406378582809,True
CONC,54,recall,0.9629629629629629,0.9076415094339623,1.0,True
FREQ,82,recall,1.0,,,False
XX0,274,recall,0.9927007299270073,0.9812012342176195,1.0,True
TPP3S,444,recall,0.9977477477477478,0.9928732589187014,1.0,True
PLACE,104,recall,0.9423076923076923,0.8952100840336135,0.981489898989899,True
AMP,71,recall,0.971830985915493,0.927536231884058,1.0,True
THRC,40,recall,0.7,0.5555555555555556,0.8421463815789473,True
EX,57,recall,1.0,,,False
FPP1P,162,recall,1.0,,,False
PEAS,213,recall,0.863849765258216,0.8169627137826961,0.9104839239923729,True
DMA,197,recall,0.9289340101522843,0.8917494032806866,0.9615384615384616,True
SO,79,recall,0.9620253164556962,0.9142680776014109,1.0,True
HDG,69,recall,0.9565217391304348,0.9047455968688846,1.0,True
PROG,131,recall,0.8702290076335878,0.8092008513931889,0.9236785796900301,True
LIKE,99,recall,0.9393939393939394,0.8876369382022471,0.9802123000761614,True
COND,73,recall,1.0,,,False
MENTAL,427,recall,1.0,,,False
ACT,629,recall,0.9920508744038156,0.984251968503937,0.9983793853734915,True
OCCUR,57,recall,1.0,,,False
BEMA,481,recall,0.9958419958419958,0.9886864973262033,1.0,True
DOAUX,114,recall,0.956140350877193,0.9158853910477127,0.990478436657682,True
NCOMP,559,recall,0.9964221824686941,0.9907569984807904,1.0,True
EXIST,95,recall,0.9894736842105263,0.9654864532019705,1.0,True
COMM,278,recall,1.0,,,False
CAUSE,52,recall,1.0,,,False
EMPH,210,recall,0.9714285714285714,0.9466486486486486,0.9946250857927248,True
SPLIT,147,recall,1.0,,,False
ASPECT,67,recall,0.9850746268656716,0.9491525423728814,1.0,True
VIMP,90,recall,0.5333333333333333,0.4347716293368467,0.6326595195040041,True
MDWS,86,recall,0.9883720930232558,0.9634146341463414,1.0,True
MDCA,65,recall,1.0,,,False
MDNE,72,recall,0.9305555555555556,0.8666417910447761,0.9857142857142858,True
SPP2,300,recall,1.0,,,False
CONT,440,recall,1.0,,,False
FPUH,159,recall,0.9811320754716981,0.9574370186659705,1.0,True
FPP1S,479,recall,0.9895615866388309,0.9797129196506188,0.9978813559322034,True
YNQU,42,recall,1.0,,,False
THATD,58,recall,1.0,,,False
MDCO,44,recall,1.0,,,False
HST,40,recall,1.0,,,False
VBG,358,f1,0.9095816464237517,0.8868660598179453,0.929278901136336,True
IN,2371,f1,0.9805723835387508,0.9763535288873229,0.9845058994102927,True
NN,5855,f1,0.9625550660792951,0.9591380128001363,0.9656156843366233,True
",",917,f1,1.0,,,False
VBD,1019,f1,0.9685966633954858,0.9605517880376926,0.97604203475333,True
THSC,104,f1,0.8583333333333334,0.8107786357786357,0.9051724137931035,True
POS,102,f1,0.909090909090909,0.8679206299703726,0.946860972168783,True
JJAT,1214,f1,0.9031719532554258,0.8908327925422332,0.915542625344154,True
MDWO,104,f1,0.9807692307692307,0.9595287247847115,0.9955156950672646,True
VB,953,f1,0.9365904365904366,0.9244318808604524,0.9474748535777947,True
TPP3P,236,f1,1.0,,,False
TO,422,f1,0.9762470308788598,0.9655172413793103,0.9860793205702446,True
QUAN,272,f1,0.9872029250457038,0.9761871875822152,0.9960474308300395,True
.,1488,f1,1.0,,,False
CC,1004,f1,0.9935097353969047,0.9894944843478324,0.9965603652607086,True
DT,1704,f1,0.9979429914781076,0.9962352783559785,0.9993951212214528,True
RB,705,f1,0.9323741007194244,0.9182852278138242,0.9451026693203459,True
JJPR,452,f1,0.8455467869222096,0.8199524002974024,0.869673088453818,True
WHSC,281,f1,0.9575971731448762,0.9384726897222802,0.9729775077090513,True
WHQU,46,f1,0.7608695652173914,0.6444252873563219,0.8490566037735849,True
``,203,f1,0.9824561403508771,0.9670872165808875,0.9947368421052631,True
'',182,f1,1.0,,,False
CD,557,f1,0.9767025089605735,0.9680196757712513,0.9850759326725951,True
:,258,f1,0.9961240310077519,0.9896190174736889,1.0,True
-LRB-,138,f1,0.996389891696751,0.9879481339994123,1.0,True
-RRB-,137,f1,0.9963636363636363,0.9884147349127894,1.0,True
TIME,143,f1,0.9619377162629758,0.9351662112932605,0.9835037249653305,True
PASS,214,f1,0.9395348837209302,0.9155982313161091,0.9601797687299581,True
RP,171,f1,0.8726114649681529,0.828045112781955,0.9108965896589658,True
PIT,365,f1,0.9958734525447043,0.9905787348586811,1.0,True
DEMO,271,f1,0.9436893203883494,0.9227408422152891,0.964722850678733,True
CUZ,77,f1,0.9801324503311257,0.953626827859016,1.0,True
QUPR,63,f1,0.9838709677419354,0.9565217391304348,1.0,True
VBN,115,f1,0.6711409395973155,0.6015023972975918,0.7301613408521304,True
VPRT,1154,f1,0.9537925021795989,0.9444426193604907,0.9622145172045503,True
CONC,54,f1,0.9719626168224299,0.9357186544342507,1.0,True
FREQ,82,f1,1.0,,,False
XX0,274,f1,0.9963369963369962,0.990511430378603,1.0,True
TPP3S,444,f1,0.9988726042841037,0.9964238864345207,1.0,True
PLACE,104,f1,0.9468599033816425,0.917871259175607,0.9753694581280787,True
AMP,71,f1,0.971830985915493,0.9397549931268698,0.9936305732484078,True
THRC,40,f1,0.7466666666666666,0.6176379811183732,0.8529509803921568,True
EX,57,f1,0.9743589743589743,0.9380392699115044,1.0,True
FPP1P,162,f1,0.9938650306748467,0.9828496677740863,1.0,True
PEAS,213,f1,0.92,0.8911364005193119,0.9468421388260051,True
DMA,197,f1,0.9384615384615385,0.911455126231527,0.9612424514968521,True
SO,79,f1,0.9620253164556962,0.9277064780862582,0.9891304347826086,True
HDG,69,f1,0.9777777777777777,0.9499910071942447,1.0,True
PROG,131,f1,0.9156626506024097,0.8760919518401763,0.9488372093023255,True
LIKE,99,f1,0.9538461538461539,0.9214659685863874,0.9809612817089453,True
COND,73,f1,0.9931972789115647,0.9763685039370078,1.0,True
MENTAL,427,f1,0.9872832369942196,0.9794437726723095,0.9942860400716729,True
ACT,629,f1,0.9734789391575663,0.9640492152348277,0.9814578222707486,True
OCCUR,57,f1,0.9743589743589743,0.9439632183908045,1.0,True
BEMA,481,f1,0.9886480908152734,0.9813895031990116,0.9949243711280943,True
DOAUX,114,f1,0.956140350877193,0.9256176367153156,0.9802028732284993,True
NCOMP,559,f1,0.9361344537815125,0.9207639964520699,0.9500103305785124,True
EXIST,95,f1,0.9842931937172775,0.9640134234076154,1.0,True
COMM,278,f1,0.9928571428571429,0.9849056603773586,0.9983526888003398,True
CAUSE,52,f1,0.9904761904761905,0.9666573033707864,1.0,True
EMPH,210,f1,0.9760765550239234,0.9601826697892272,0.990478436657682,True
SPLIT,147,f1,0.9932432432432432,0.9820359281437125,1.0,True
ASPECT,67,f1,0.9850746268656716,0.9606141732283464,1.0,True
VIMP,90,f1,0.6114649681528662,0.5228721033868093,0.6962260397830018,True
MDWS,86,f1,0.9941520467836257,0.9813664596273292,1.0,True
MDCA,65,f1,0.9923664122137404,0.9753060912151821,1.0,True
MDNE,72,f1,0.9640287769784173,0.9285571428571429,0.9928057553956835,True
SPP2,300,f1,1.0,,,False
CONT,440,f1,0.9977324263038548,0.9942055827668865,1.0,True
FPUH,159,f1,0.9904761904761905,0.9782557584843942,1.0,True
FPP1S,479,f1,0.9937106918238994,0.988081043387638,0.9979551145611618,True
YNQU,42,f1,0.8936170212765957,0.8214285714285715,0.9484602167591859,True
THATD,58,f1,0.8923076923076924,0.8309804983748645,0.9411977834612105,True
MDCO,44,f1,1.0,,,False
HST,40,f1,1.0,,,False
